Ref,Val,Package,PosX,PosY,Rot,Side
C1,22pf,R_0805_2012Metric,-211.156232,-135.440109,180,bottom
C2,22pf,C_0805_2012Metric,-211.156237,-128.074109,0,bottom
C3,1uF,C_0805_2012Metric,-201.0024,-122.566668,0,bottom
C4,0.1uF,C_0805_2012Metric,-209.9564,-123.19,90,bottom
C5,0.1uF,C_0805_2012Metric,-202.774236,-141.028108,0,bottom
C6,0.1uF,C_0805_2012Metric,-190.46426,-135.313108,90,bottom
C7,10uF,C_0805_2012Metric,-190.618978,-127.118192,-90,bottom
D1,SOD-123,D_SOD-123,-166.3446,-111.6848,90,bottom
D2,SOD-123,D_SOD-123,-185.7756,-120.5748,90,bottom
F1,500mA,Fuse_1206_3216Metric,-194.042268,-109.8785,-90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,-197.447768,-96.595,0,bottom
R1,10k,R_0805_2012Metric,-207.772,-123.19,-90,bottom
R2,22,R_0805_2012Metric,-198.971768,-117.971168,-90,bottom
R3,22,R_0805_2012Metric,-196.939768,-117.971168,-90,bottom
R4,10k,R_0805_2012Metric,-195.154235,-141.155108,0,bottom
R5,5.1k,R_0805_2012Metric,-200.114768,-103.4425,0,bottom
R6,5.1k,R_0805_2012Metric,-195.288768,-103.504999,180,bottom
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,-199.980235,-131.757108,-90,bottom
U2,SRV05-4,SOT-23-6-routable,-197.955768,-106.553,180,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-211.156236,-131.757108,90,bottom
MX1,MX-NoLED,MX-1U-NoLED,158.5976,-111.6848,0,top
MX2,MX-NoLED,MX-1U-NoLED,177.6476,-120.7018,0,top
SW1,SW_Push,SKQG-1155865,157.48,-133.1468,0,top
